doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
11sjr000O,SJR O of 2011,NA,NA,2011-2012,SJR,Public employees and officers,state,"Public employees and officers; state; legislative power to pass laws to regulate civil service employees' compensation and labor disputes; provide for. Amends sec. 48, art. IV & sec. 5, art. XI of the state constitution.Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-O,FALSE
11hjr000O,HJR O of 2011,NA,NA,2011-2012,HJR,Legislature,other,"Legislature; other; 2-year budget process; establish. Amends sec. 31, art. IV, secs. 11, 14, 24, 26, 27, 28, 35, 35a & 40, art. IX & sec. 5, art. XI of the state constitution.Last Action: printed joint resolution filed 03/03/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-O,FALSE
11hjr000P,HJR P of 2011,NA,NA,2011-2012,HJR,Natural resources,hunting,"Natural resources; hunting; constitutional right to hunt, trap, and fish; provide for. Amends the state constitution by adding sec. 28 to art. I.Last Action: printed joint resolution filed 03/16/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-P,FALSE
11sjr000P,SJR P of 2011,NA,NA,2011-2012,SJR,Public employees and officers,state,"Public employees and officers; state; maximum number of unclassified employees; increase. Amends sec. 5, art. XI of the state constitution.Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-P,FALSE
11sjr000Q,SJR Q of 2011,NA,NA,2011-2012,SJR,Constitutional amendments,state,"Constitutional amendments; state; Michigan natural resources trust fund; modify allowable expenditures. Amends sec. 35, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-Q,FALSE
11hjr000Q,HJR Q of 2011,NA,NA,2011-2012,HJR,Transportation,funds,"Transportation; funds; oversights and protections of funds earmarked for the transportation economic development fund; provide for. Amends secs. 9 & 10, art. IX of the state constitution.Last Action: printed joint resolution filed 03/17/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-Q,FALSE
11hjr000R,HJR R of 2011,NA,NA,2011-2012,HJR,NA,NA,"State agencies (existing); civil service; civil service commission's authority to increase public employee compensation benefits without approval of legislature and governor; prohibit. Amends sec. 5, art. XI of the state constitution.Last Action: printed joint resolution filed 03/17/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-R,FALSE
11sjr000R,SJR R of 2011,NA,NA,2011-2012,SJR,Constitutional amendments,state,"Constitutional amendments; state; operation of public school on for-profit basis; prohibit in state constitution. Amends sec. 2, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON EDUCATION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-R,FALSE
11sjr000S,SJR S of 2011,NA,NA,2011-2012,SJR,Elections,recall,"Elections; recall; reasons for recalling an elective officer; amend constitution to provide for. Amends sec. 8, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SJR-S,FALSE
11hjr000S,HJR S of 2011,NA,NA,2011-2012,HJR,Labor,collective bargaining,Labor; collective bargaining; constitutional right to collective bargaining; create. Amends the state constitution by adding sec. 28 to art. I.Last Action: printed joint resolution filed 03/24/2011,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-S,FALSE
11hjr000T,HJR T of 2011,NA,NA,2011-2012,HJR,Legislature,legislators,"Legislature; legislators; part-time legislature, reduction of legislative salaries and benefits, limitation of number of committees legislators may serve on, limitation of number of bills legislators may request, elimination of term limits, and requirement that all budgets to be presented to the governor before June 1; provide for. Amends secs. 12, 13, 16, 22 & 31, art. IV & sec. 15, art. V & repeals sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 04/13/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-T,FALSE
11hjr000U,HJR U of 2011,NA,NA,2011-2012,HJR,Constitutional amendments,state,"Constitutional amendments; state; permissible uses of state school aid fund; revise. Amends sec. 11, art. IX of the state constitution.Last Action: printed joint resolution filed 04/28/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-U,FALSE
11hjr000V,HJR V of 2011,NA,NA,2011-2012,HJR,Legislature,legislators,"Legislature; legislators; reduction of legislators' salary; provide for. Amends sec. 12, art. IV of the state constitution.Last Action: printed joint resolution filed 04/29/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-V,FALSE
11hjr000W,HJR W of 2011,NA,NA,2011-2012,HJR,State financing and management,funds,"State financing and management; funds; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II of the state constitution.Last Action: printed joint resolution filed 05/04/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-W,FALSE
11hjr000X,HJR X of 2011,NA,NA,2011-2012,HJR,Public employees and officers,compensation and benefits,"Public employees and officers; compensation and benefits; salary for governor when annual income outside of state government exceeds $1,000,000.00; eliminate. Amends sec. 12, art. IV of the state constitution.Last Action: printed joint resolution filed 05/04/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-X,FALSE
11hjr000Y,HJR Y of 2011,NA,NA,2011-2012,HJR,Legislature,legislators,Legislature; legislators; reduced compensation for legislators who have unexcused absence from session; provide for. Amends the state constitution by adding sec. 55 to art. IV.Last Action: printed joint resolution filed 05/04/2011,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-Y,FALSE
11hjr000Z,HJR Z of 2011,NA,NA,2011-2012,HJR,Legislature,legislators,"Legislature; legislators; part-time legislature, reduction of legislators' salaries, reduced compensation for absences from legislative session, and limit on legislative budget; provide for. Amends secs. 12 & 13, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 05/06/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-Z,FALSE
11hjr00AA,HJR AA of 2011,NA,NA,2011-2012,HJR,Legislature,other,"Legislature; other; requirement that bills be reported or discharged from committee and any changes be made available to members for at least 3 days prior to passage; provide for. Amends sec. 26, art. IV of the state constitution.Last Action: printed joint resolution filed 05/18/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-AA,FALSE
11hjr00BB,HJR BB of 2011,NA,NA,2011-2012,HJR,Public employees and officers,compensation and benefits,"Public employees and officers; compensation and benefits; authority of civil service commission as to compensation; revise. Amends sec. 5, art. XI of the state constitution.Last Action: printed joint resolution filed 05/25/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-BB,FALSE
11hjr00CC,HJR CC of 2011,NA,NA,2011-2012,HJR,Legislature,apportionment,"Legislature; apportionment; redistricting; create a legislative and congressional redistricting commission. Amends secs. 2, 3 & 6 of art. IV of the state constitution.Last Action: printed joint resolution filed 05/26/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-CC,FALSE
11hjr00DD,HJR DD of 2011,NA,NA,2011-2012,HJR,Legislature,legislators,"Legislature; legislators; part-time legislature, reduction of legislative salaries, and budget deadline; provide for. Amends secs. 12, 13 & 31, art. IV of the state constitution.
Last Action: printed joint resolution filed 09/09/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-DD,FALSE
11hjr00EE,HJR EE of 2011,NA,NA,2011-2012,HJR,Legislature,legislators,"Legislature; legislators; policy regarding provisions subject to referendum; redefine. Amends sec. 9, art. II of the state constitution.Last Action: printed joint resolution filed 09/22/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-EE,FALSE
11hjr00FF,HJR FF of 2011,NA,NA,2011-2012,HJR,Constitutional amendments,state,"Constitutional amendments; state; exemption from certain state laws for certain local school districts; provide for. Amends sec. 2, art. VIII of the state constitution.Last Action: printed joint resolution filed 09/23/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-FF,FALSE
11hjr00GG,HJR GG of 2011,NA,NA,2011-2012,HJR,Elections,recall,"Elections; recall; reasons for recalling an elective office; amend constitution to provide for. Amends sec. 8, art. II of the state constitution.Last Action: printed joint resolution filed 10/21/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-GG,FALSE
11hjr00HH,HJR HH of 2011,NA,NA,2011-2012,HJR,Civil rights,equal protection,Civil rights; equal protection; right to life; establish and clarify. Amends art. I of the state constitution by adding sec. 28.Last Action: printed joint resolution filed 11/04/2011,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-HH,FALSE
11hjr00II,HJR II of 2011,NA,NA,2011-2012,HJR,Legislature,legislators,"Legislature; legislators; part-time legislature; provide for, revise term limits, and notify when extraordinary sessions may be held. Amends secs. 13 & 54, art. IV & sec. 15, art. V of the state constitution.Last Action: printed joint resolution filed 11/09/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-II,FALSE
11hjr00JJ,HJR JJ of 2011,NA,NA,2011-2012,HJR,Higher education,tuition,"Higher education; tuition; public universities to offer in-state tuition to honorably discharged veterans; require. Amends secs. 5 & 6, art. VIII of the state constitution.Last Action: printed joint resolution filed 12/14/2011",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HJR-JJ,FALSE
12sjr000T,SJR T of 2012,NA,NA,2011-2012,SJR,Taxation,other,"Taxation; other; constitutional amendment for 4-year sunset on bills that increase or create new tax exemptions or credits; require. Amends sec. 26, art. IV of state constitution.Last Action: REFERRED TO COMMITTEE ON FINANCE",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-SJR-T,FALSE
12sjr000U,SJR U of 2012,NA,NA,2011-2012,SJR,Courts,judges,"Courts; judges; election of or appointment to a judicial office of person who has reached 70 years of age; remove prohibition. Amends sec. 19, art. VI of the state constitution.Last Action: REFERRED TO COMMITTEE OF THE WHOLE",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-SJR-U,FALSE
12hjr00KK,HJR KK of 2012,NA,NA,2011-2012,HJR,Constitutional amendments,state,"Constitutional amendments; state; operation of public school on for-profit basis; prohibit in state constitution. Amends sec. 2, art. VIII of the state constitution.Last Action: printed joint resolution filed 01/13/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-KK,FALSE
12hjr00LL,HJR LL of 2012,NA,NA,2011-2012,HJR,Legislature,legislators,"Legislature; legislators; part-time legislature; provide for, and reduce legislative salaries. Amends secs. 12 & 13, art. IV of the state constitution & adds sec. 55, art. IV.Last Action: printed joint resolution filed 01/18/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-LL,FALSE
12hjr00MM,HJR MM of 2012,NA,NA,2011-2012,HJR,Higher education,tuition,"Higher education; tuition; in-district tuition rates for active service members and veterans; provide for. Amends sec. 7, art. VIII of the state constitution.Last Action: printed joint resolution filed 01/27/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-MM,FALSE
12hjr00NN,HJR NN of 2012,NA,NA,2011-2012,HJR,Campaign finance,public disclosure,Campaign finance; public disclosure; accountability and disclosure of corporate political and lobbying activities; include. Amends the state constitution by adding sec. 11 to art. II.Last Action: re-referred to Committee on Redistricting and Elections,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-NN,FALSE
12hjr00OO,HJR OO of 2012,NA,NA,2011-2012,HJR,Courts,judges,"Courts; judges; gubernatorial appointment of supreme court justice; amend constitution to require advice and consent of the senate. Amends sec. 23, art. VI of the state constitution.Last Action: printed joint resolution filed 02/08/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-OO,FALSE
12hjr00PP,HJR PP of 2012,NA,NA,2011-2012,HJR,Higher education,state universities,"Higher education; state universities; constitutional requirement for annual accounting of income and expenditures; revise. Amends sec. 4, art. VIII of the state constitution.Last Action: recommendation concurred in",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-PP,FALSE
12hjr00QQ,HJR QQ of 2012,NA,NA,2011-2012,HJR,Education,board members,"Education; board members; state board of education; require members to be elected from single-member districts. Amends sec. 3, art. VIII of the state constitution.Last Action: printed joint resolution filed 02/17/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-QQ,FALSE
12hjr00RR,HJR RR of 2012,NA,NA,2011-2012,HJR,Constitutional amendments,state,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: printed joint resolution filed 03/09/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-RR,FALSE
12hjr00SS,HJR SS of 2012,NA,NA,2011-2012,HJR,Taxation,other,"Taxation; other; constitutional amendment for 4-year sunset on bills that increase or create new tax exemptions or credits; require. Amends sec. 26, art. IV of the state constitution.Last Action: printed joint resolution filed 03/16/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-SS,FALSE
12hjr00TT,HJR TT of 2012,NA,NA,2011-2012,HJR,Property tax,assessments,"Property tax; assessments; limitation on taxable value based on change in SEV; amend constitution to provide for. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 05/24/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-TT,FALSE
12hjr00UU,HJR UU of 2012,NA,NA,2011-2012,HJR,Taxation,other,"Taxation; other; constitutionally dedicated replacement of personal property revenue; provide for under certain circumstances. Amends sec. 43, art. IX of the state constitution.Last Action: printed joint resolution filed 05/25/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-UU,FALSE
12hjr00VV,HJR VV of 2012,NA,NA,2011-2012,HJR,Constitutional amendments,state,"Constitutional amendments; state; right to engage in modern farming and ranching; provide for. Amends the state constitution by adding sec. 28 to art. I.

Last Action: printed joint resolution filed 06/06/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-VV,FALSE
12hjr00WW,HJR WW of 2012,NA,NA,2011-2012,HJR,Constitutional amendments,state,Constitutional amendments; state; laws abridging the right of farmers and ranchers to employ technology and modern practices; prohibit. Amends the state constitution by adding sec. 29 to art. I.Last Action: printed joint resolution filed 06/06/2012,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-WW,FALSE
12hjr00XX,HJR XX of 2012,NA,NA,2011-2012,HJR,Public utilities,other,"Public utilities; other; sale or lease of certain assets owned by public authority; prohibit unless approved by a majority of electors within the municipality. Amends sec. 25, art. VII of the state constitution.Last Action: printed joint resolution filed 06/15/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-XX,FALSE
12hjr00YY,HJR YY of 2012,NA,NA,2011-2012,HJR,Labor,collective bargaining,Labor; collective bargaining; right to collective bargaining; amend constitution to provide right. Amends the state constitution by adding sec. 28 to art. I.Last Action: printed joint resolution filed 06/15/2012,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-YY,FALSE
12hjr00ZZ,HJR ZZ of 2012,NA,NA,2011-2012,HJR,Higher education,state universities,"Higher education; state universities; African-American university; create. Amends sec. 6, art. VIII of the state constitution.Last Action: printed joint resolution filed 06/15/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-ZZ,FALSE
12hjr0AAA,HJR AAA of 2012,NA,NA,2011-2012,HJR,Elections,candidates,"Elections; candidates; residency requirement for state senate and state representative candidates; modify. Amends sec. 7, art. IV of the state constitution.Last Action: printed joint resolution filed 09/12/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-AAA,FALSE
12hjr0BBB,HJR BBB of 2012,NA,NA,2011-2012,HJR,Legislature,legislators,"Legislature; legislators; health care benefits for legislators; modify, and modify salaries and expense allowances of members of the legislature. Amends sec. 12, art. IV & adds sec. 55, art. IV of the state constitution.Last Action: printed joint resolution filed 09/28/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-BBB,FALSE
12hjr0CCC,HJR CCC of 2012,NA,NA,2011-2012,HJR,Legislature,other,Legislature; other; limitations on when tax or appropriations bills may be reported out of committee or passed out of the legislature; provide for. Amends sec. 26 of art. IV of the state constitution.Last Action: printed joint resolution filed 11/30/2012,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-CCC,FALSE
12hjr0DDD,HJR DDD of 2012,NA,NA,2011-2012,HJR,Education,school districts,"Education; school districts; maintenance of certain specified types of schools; require in each district, and require high-quality free and safe quality public education in this state. Amends sec. 2, art. VIII of the state constitution.Last Action: printed joint resolution filed 12/07/2012",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2012-HJR-DDD,FALSE
